Url,EventName,EventLocation,EventDate,EventImagePath,Price,TicketLink
https://www.bilietai.lt/lit/renginiai/koncertai/koncertas-vaikyste-pasaku-taku-387622/,"  Koncertas &#039;&#039;VAIKYSTĖ PASAKŲ TAKU&#039;&#039; "," Kultūros centras Žvejų rūmai, Klaipėda "," T 2023-04-19&#32;17:00",https://www.bilietai.lt/imageGenerator/eventDetails/976eca4b75e5c4dcba00f5d532d7053a,Bilietai neparduodami,https://store.bilietai.lt/public/?concert=387622&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/miuziklas-kakes-makes-gimtadienis-84045/," Miuziklas &#039;&#039;Kakės Makės Gimtadienis&#039;&#039; ",Renginys vyksta daugiau negu vienoje vietoje," Š 2023-05-27&#32;11:00 &#32;-&#32;S 2023-05-28&#32; 12:00",https://www.bilietai.lt/imageGenerator/eventDetails/4a837221de679444a116d69bc9beda85,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/koncertai/midsummer-vilnius-2023-82021/," Midsummer Vilnius 2023 ",Renginys vyksta daugiau negu vienoje vietoje," Pr 2023-07-17&#32;21:00 &#32;-&#32;Pn 2023-07-28&#32; 22:30",https://www.bilietai.lt/imageGenerator/eventDetails/d07883db123c15d6dc72ef8785770f95,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/koncertai/visi-hitai--pasaulio-muzikos-sedevrai--universe-orchestra-82600/," VISI HITAI | Pasaulio Muzikos Šedevrai | Universe Orchestra ",Renginys vyksta daugiau negu vienoje vietoje," Š 2023-04-01&#32;19:00 &#32;-&#32;Pr 2023-04-03&#32; 20:30",https://www.bilietai.lt/imageGenerator/eventDetails/f1f5f1d86b19bb5353e77c1a9b3749e9,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/koncertai/holivudo-zvaigzdes--alytus-377090/,"  Holivudo žvaigždės | ALYTUS "," Alytaus kultūros centras, Alytus "," A 2023-03-28&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/44ebfad8d976a9695c275dbb3816895e,19.00 - 29.00,https://store.bilietai.lt/public/?concert=377090&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/romas-dambrauskas-su-gyvo-garso-grupe--marijampole-381259/,"  Romas Dambrauskas su gyvo garso grupe | Marijampolė "," Marijampolės kultūros centras, Marijampolė "," T 2023-03-29&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/179c1d66df52af3a0df222d94f159517,19.90 - 25.90,https://store.bilietai.lt/public/?concert=381259&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/siauliai-koncertas-eisva-mudu-abudu-383779/,"  (Šiauliai) Koncertas EISVA MUDU ABUDU "," Šiaulių kultūros centras, Šiauliai "," T 2023-03-29&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/96d6f5e7cda123d786554a7391a7379d,11.20 - 16.20,https://store.bilietai.lt/public/?concert=383779&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/dgolovanovo-tarptautinis-dziazo-kvartetas-386661/,"  D.Golovanovo tarptautinis džiazo kvartetas "," Vilkaviškio kultūros centras, Vilkaviškis "," K 2023-03-30&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/ec0e2f558fe09a31f069c161e7db2bb0,6.80 - 16.20,https://store.bilietai.lt/public/?concert=386661&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/klaipeda-vidas-bareikis-reivas-akustiskai--gaisrine-387041/,"  (Klaipėda) Vidas Bareikis. Reivas - akustiškai | Gaisrinė "," Restobaras Gaisrinė, Klaipėda "," K 2023-03-30&#32;19:00",https://www.bilietai.lt/imageGenerator/eventDetails/198ffbbece1f0db239de49d1f987931a,30.00 - 40.00,https://store.bilietai.lt/public/?concert=387041&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/carnival-youth--vilnius-386498/,"  Carnival Youth | Vilnius "," Kablys + Kultūra, mažoji salė, Vilnius "," K 2023-03-30&#32;20:30",https://www.bilietai.lt/imageGenerator/eventDetails/a51a1a7fd62b5e96c9a2c13d7e46592e,16.00,https://store.bilietai.lt/public/?concert=386498&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/nuostabioji-dainininke-gabija-veronika-argentina-384464/,"  Nuostabioji dainininkė GABIJA VERONIKA (Argentina) "," Panevėžio muzikinis teatras, Panevėžys "," Pn 2023-03-31&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/3eac3e1367026ee601f053bcbfec4ed1,19.90 - 25.00,https://store.bilietai.lt/public/?concert=384464&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/taurage-koncertas-eisva-mudu-abudu-383781/,"  (Tauragė) Koncertas EISVA MUDU ABUDU "," Tauragės kultūros rūmai, Tauragė "," Pn 2023-03-31&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/60de422e173647fd53d940056093ad03,11.20 - 16.20,https://store.bilietai.lt/public/?concert=383781&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/baltasis-kiras-381682/,"  BALTASIS KIRAS "," Šv. Kotrynos bažnyčia, Vilnius "," Pn 2023-03-31&#32;19:00",https://www.bilietai.lt/imageGenerator/eventDetails/b122ec080ace40dd1e9ec4f5e604e6da,22.00 - 28.00,https://store.bilietai.lt/public/?concert=381682&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/acoustic-velvet-385944/,"  Acoustic: VELVET "," Lukiškių kalėjimas 2.0, Šv. Mikalojaus Stebukladario cerkvė, Vilnius "," Pn 2023-03-31&#32;20:00",https://www.bilietai.lt/imageGenerator/eventDetails/87be2ce45d038542c01b7c7f4d7fb80b,16.00,https://store.bilietai.lt/public/?concert=385944&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/remis-retro-gyvo-garso-koncertas-vilniuje-387092/,"  REMIS RETRO gyvo garso koncertas Vilniuje "," Baras - klubas PlanB, Vilnius "," Pn 2023-03-31&#32;22:00 &#32;-&#32; Š 2023-04-01&#32; 05:00",https://www.bilietai.lt/imageGenerator/eventDetails/fccb7d40df849a7ad565f50dca7fc788,10.00 - 15.00,https://store.bilietai.lt/public/?concert=387092&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/skrydis-svajoniu-sparnais-gala-vakaras-sventine-programa-385845/,"  &#039;&#039;Skrydis svajonių sparnais&#039;&#039;. Gala vakaras  šventinė programa "," Visagino kultūros centras, Draugystė, Visaginas "," Š 2023-04-01&#32;14:00",https://www.bilietai.lt/imageGenerator/eventDetails/e1e898e53b4b7c0a7b5fc25fdc2e496a,3.65 - 5.00,https://store.bilietai.lt/public/?concert=385845&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/perkeltas-vakaras-naktis-rytas-375396/,"  (PERKELTAS) &#039;&#039;Vakaras, naktis, rytas&#039;&#039; "," Trakų Vokės dvaro sodyba, Vilnius "," Š 2023-04-01&#32;16:00",https://www.bilietai.lt/imageGenerator/eventDetails/332f0bf0627640a7abd53dca4c8cc01b,11.00 - 13.00,https://store.bilietai.lt/public/?concert=375396&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/e-onofri-ir-kko--festivalis-klaipedos-muzikos-pavasaris-381429/,"  E. Onofri ir KKO | Festivalis KLAIPĖDOS MUZIKOS PAVASARIS "," Klaipėdos koncertų salė, Klaipėda "," Š 2023-04-01&#32;18:30",https://www.bilietai.lt/imageGenerator/eventDetails/d46b082cb5a3d9b6f6853c7ecb0c3687,8.20 - 15.20,https://store.bilietai.lt/public/?concert=381429&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/hiperband-legendines-dainos-379923/,"  HIPERBAND - legendinės dainos "," Pramogų salė VAKARIS, Vilnius "," Š 2023-04-01&#32;19:00",https://www.bilietai.lt/imageGenerator/eventDetails/e8033de2bd9a4fa87af584de7d786e15,18.00 - 20.00,https://store.bilietai.lt/public/?concert=379923&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/vilnius-visi-hitai--pasaulio-muzikos-sedevrai--universe-orchestra-379880/,"  (Vilnius) VISI HITAI | Pasaulio Muzikos Šedevrai | Universe Orchestra "," COMPENSA koncertų salė, Vilnius "," Š 2023-04-01&#32;19:00",https://www.bilietai.lt/imageGenerator/eventDetails/c3b11d6fe618921876fa50c7530bd09b,30.00 - 50.00,https://store.bilietai.lt/public/?concert=379880&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/koncertas-poeto-meile-380638/,"  Koncertas &#039;&#039;Poeto meilė&#039;&#039; "," Trakų Vokės dvaro sodyba, Vilnius "," S 2023-04-02&#32;15:00",https://www.bilietai.lt/imageGenerator/eventDetails/f71bf858af2f72ad225789731f405aa1,10.00 - 12.00,https://store.bilietai.lt/public/?concert=380638&amp;design=bilietai&amp;lang=lit&amp;center=1745
