Url,EventName,EventLocation,EventDate,EventImagePath,Price,TicketLink
https://www.bilietai.lt/lit/renginiai/teatras/spektaklis-gal-nedarom-tragedijos-yasmina-reza-premjera-80029/," Spektaklis ,,GAL NEDAROM TRAGEDIJOS&#039;&#039; (Yasmina REZA). Premjera! ",Renginys vyksta daugiau negu vienoje vietoje, Pr 2023-04-17&#32;18:00 &#32;-&#32;Š 2023-08-19&#32; 21:30,https://www.bilietai.lt/imageGenerator/eventDetails/0bf72759ed641b4140e5e9a89e6763f3,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/cirque-du-soleil-ovo-82108/, Cirque du Soleil - OVO ,Renginys vyksta daugiau negu vienoje vietoje, K 2023-06-08&#32;19:30 &#32;-&#32;S 2023-06-11&#32; 19:00,https://www.bilietai.lt/imageGenerator/eventDetails/7b982a18fb3d1cc20fa04cc670407933,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/humoro-klubas-su-programa-kelyje-3-81601/, &#039;&#039;Humoro klubas&#039;&#039; su programa &#039;&#039;Kelyje 3&#039;&#039; ,Renginys vyksta daugiau negu vienoje vietoje, Pn 2023-04-14&#32;19:00 &#32;-&#32;T 2023-05-24&#32; 20:30,https://www.bilietai.lt/imageGenerator/eventDetails/f855b0da06413e6db6909a12db19124c,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/kauno-valstybinis-leliu-teatras-repertuaras-2022-69218/, Kauno valstybinis lėlių teatras REPERTUARAS 2022 ,Renginys vyksta daugiau negu vienoje vietoje, Š 2023-04-01&#32;12:00 &#32;-&#32;S 2023-05-14&#32; 13:00,https://www.bilietai.lt/imageGenerator/eventDetails/dc1421e6eb1bae1d376c55c54af0754a,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/knyga-marius-ivaskevicius-miegantys-361889/,  Knyga: Marius Ivaškevičius. MIEGANTYS. ," Lietuvos nacionalinis dramos teatras, Vilnius ", Š 2022-12-31&#32;00:00 &#32;-&#32; Pn 2023-06-30&#32; 23:59,https://www.bilietai.lt/imageGenerator/eventDetails/4aabe336db4cefb114844e1afc6bbc79,10,https://store.bilietai.lt/public/?concert=361889&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/drama/premjera--marsha-norman-labanakt-mama-382071/,"  Premjera |  Marsha Norman Labanakt, mama "," Girstučio kultūros rūmai, Kaunas ", Pn 2023-04-14&#32;18:00,https://www.bilietai.lt/imageGenerator/eventDetails/9b80727bfef7a14ed29bbf70b36bbc30,8.70 - 16.20,https://store.bilietai.lt/public/?concert=382071&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vejo-prigimtis-rez-gildas-aleksa-385967/,  VĖJO PRIGIMTIS (rež. Gildas Aleksa) ," Kauno miesto kamerinis teatras, Kaunas ", Pn 2023-04-14&#32;18:00,https://www.bilietai.lt/imageGenerator/eventDetails/3b79ec8e0694468c02bfe50417a8f7c3,12.60 - 15.60,https://store.bilietai.lt/public/?concert=385967&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/lars-noren-demonai-375891/,  Lars Norén DEMONAI ," Klaipėdos dramos teatras, Klaipėda ", Pn 2023-04-14&#32;18:30,https://www.bilietai.lt/imageGenerator/eventDetails/c83189628d69e548f4444658de0d0b42,4.15 - 19.15,https://store.bilietai.lt/public/?concert=375891&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/doriano-grejaus-portretas--spektaklis-suaugusiems-384604/,  DORIANO GRĖJAUS PORTRETAS || Spektaklis suaugusiems ," Vilniaus teatras LĖLĖ, Vilnius ", Pn 2023-04-14&#32;18:30,https://www.bilietai.lt/imageGenerator/eventDetails/a93c6076deb15a1aea22865ef263e916,21,https://store.bilietai.lt/public/?concert=384604&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/humoro-klubas-vilkaviskyje-su-programa-kelyje-3-384384/,  &#039;&#039;Humoro klubas&#039;&#039; Vilkaviškyje su programa &#039;&#039;Kelyje 3&#039;&#039; ," Vilkaviškio kultūros centras, Vilkaviškis ", Pn 2023-04-14&#32;19:00,https://www.bilietai.lt/imageGenerator/eventDetails/df9a7589b7ab976c80badb5a86455513,18,https://store.bilietai.lt/public/?concert=384384&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/sokis/vilnius-seiko-sokio-teatro-spektaklis--la-calash-la-latin-lt-387700/,  (Vilnius) Šeiko šokio teatro spektaklis | La CALASH La Latin-LT ," MENŲ SPAUSTUVĖ, Vilnius ", Pn 2023-04-14&#32;19:00,https://www.bilietai.lt/imageGenerator/eventDetails/260a5aaacee060a2ed1a649d9398995e,10.20 - 19.20,https://store.bilietai.lt/public/?concert=387700&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/martin-algus-sieros-magnolijos-rez-egle-svedkauskaite-384146/,"  Martin Algus. SIEROS MAGNOLIJOS, rež Eglė ŠVEDKAUSKAITĖ "," Lietuvos nacionalinis dramos teatras, Vilnius ", Pn 2023-04-14&#32;19:30,https://www.bilietai.lt/imageGenerator/eventDetails/5b23201f2c739533e0db3641cadf08f7,8.70 - 12.00,https://store.bilietai.lt/public/?concert=384146&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/jokubo-dienorastis-387192/,  JOKŪBO DIENORAŠTIS ," Kauno valstybinis lėlių teatras, Kaunas ", Š 2023-04-15&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/6d0dc4fd68d7bc5011e691ad0ce6833c,7.50 - 9.50,https://store.bilietai.lt/public/?concert=387192&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/n-sinkeviciutes-pasaka-be-pavadinimo-378086/,  N. Sinkevičiūtės  PASAKA BE PAVADINIMO ," Kultūros centras Žvejų rūmai, Klaipėda ", Š 2023-04-15&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/424d8023f21f40794eb5e70a22c1614b,11,https://store.bilietai.lt/public/?concert=378086&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/leliu-spektaklis-nepaprasta-edvardo-tiuleino-kelione-386049/,  Lėlių spektaklis NEPAPRASTA EDVARDO TIULEINO KELIONĖ ," Klaipėdos lėlių teatras, Klaipėda ", Š 2023-04-15&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/f0de9ce82280d876673c51dc2b83b7a5,7.2,https://store.bilietai.lt/public/?concert=386049&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/karlsono-skambutis-381010/,  Karlsono skambutis ," Raganiukės teatras, Vilnius ", Š 2023-04-15&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/49a159636daf1668e03518858a9146b4,15.60 - 21.20,https://store.bilietai.lt/public/?concert=381010&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/kavos-malunelis--leliu-spektaklis-vaikams-384533/,  KAVOS MALŪNĖLIS || Lėlių spektaklis vaikams ," Vilniaus teatras LĖLĖ, Vilnius ", Š 2023-04-15&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/5f8cecd0c079a1e96be226a9bbffe42e,9,https://store.bilietai.lt/public/?concert=384533&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/aukso-obelele-vyno-sulinelis--pasaka-vaikams-384534/,"  AUKSO OBELĖLĖ, VYNO ŠULINĖLIS || Pasaka vaikams "," Vilniaus teatras LĖLĖ, Vilnius ", Š 2023-04-15&#32;14:00,https://www.bilietai.lt/imageGenerator/eventDetails/3238c6bcff983df18e6127839174f6cd,8,https://store.bilietai.lt/public/?concert=384534&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/premjera--detektyvo-lapino-byla-383588/,  Premjera |  Detektyvo Lapino byla ," Keistuolių teatras, Vilnius ", Š 2023-04-15&#32;15:00,https://www.bilietai.lt/imageGenerator/eventDetails/ea249730b63958ebec94a50b15b983d5,10.2,https://store.bilietai.lt/public/?concert=383588&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/sokio-teatras-aura--spektaklis-as-kaip-ir-tu-3-6-m-vaikams-389097/,  Šokio teatras AURA | spektaklis &#039;&#039;Aš kaip ir tu&#039;&#039; (3 - 6 m. vaikams) ," Aura + studija, Kaunas ", Š 2023-04-15&#32;15:00,https://www.bilietai.lt/imageGenerator/eventDetails/74098f137755b3f84356e0c2cabcb4a5,8.16,https://store.bilietai.lt/public/?concert=389097&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/sokio-teatras-aura--spektaklis-as-kaip-ir-tu-3-6-m-vaikams-389099/,  Šokio teatras AURA | spektaklis &#039;&#039;Aš kaip ir tu&#039;&#039; (3 - 6 m. vaikams) ," Aura + studija, Kaunas ", Š 2023-04-15&#32;17:00,https://www.bilietai.lt/imageGenerator/eventDetails/2d3bef24d9e8fd9f69b52f661072b893,8.16,https://store.bilietai.lt/public/?concert=389099&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/perkeltas-iwan-wyrypajew-sauletoji-linija-rez-justas-tertelis-387727/,  (Perkeltas) Iwan Wyrypajew Saulėtoji linija (rež. Justas Tertelis) ," MENŲ SPAUSTUVĖ, Vilnius ", Š 2023-04-15&#32;18:00,https://www.bilietai.lt/imageGenerator/eventDetails/575b8cfa6be189c30ccfa253327d8b42,16.20 - 21.20,https://store.bilietai.lt/public/?concert=387727&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/jmdt--apsiaustas-rez-kotryna-siaurusaityte-383867/,  JMDT | APSIAUSTAS rež. Kotryna Siaurusaitytė ," Juozo Miltinio dramos teatras, Panevėžys ", Š 2023-04-15&#32;18:00,https://www.bilietai.lt/imageGenerator/eventDetails/79d03774a54ae0f05630b1205d2df1e0,12,https://store.bilietai.lt/public/?concert=383867&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/kita/diskoteka-angelams-388377/,  DISKOTEKA  ANGELAMS ," Panevėžio teatras MENAS, Panevėžys ", Š 2023-04-15&#32;18:00,https://www.bilietai.lt/imageGenerator/eventDetails/3fb6a7c3a9c10c23446f52523fa00508,9.5,https://store.bilietai.lt/public/?concert=388377&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vmt-spektaklis--sasa-isnesk-siuksles-383055/,"  VMT SPEKTAKLIS | SAŠA, IŠNEŠK ŠIUKŠLES "," Valstybinis Vilniaus mažasis teatras, Vilnius ", Š 2023-04-15&#32;18:30,https://www.bilietai.lt/imageGenerator/eventDetails/b78297672144f0b96d01dd85d9b7d77a,9.44 - 20.00,https://store.bilietai.lt/public/?concert=383055&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/komedija/keistuoliai--apie-nieka-386038/,  KEISTUOLIAI | Apie nieką ," Keistuolių teatras, Vilnius ", Š 2023-04-15&#32;19:00,https://www.bilietai.lt/imageGenerator/eventDetails/80cfde677d4d1c4fde22bd917646220b,17.2,https://store.bilietai.lt/public/?concert=386038&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/humoro-klubas-taurageje-su-programa-kelyje-3-382898/,  &#039;&#039;Humoro klubas&#039;&#039; Tauragėje su programa &#039;&#039;Kelyje 3&#039;&#039; ," Tauragės kultūros rūmai, Tauragė ", Š 2023-04-15&#32;19:00,https://www.bilietai.lt/imageGenerator/eventDetails/b1f2ab3213ffc04961711438e4828e7c,18,https://store.bilietai.lt/public/?concert=382898&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/dzino-show-humoristiniu-situaciju-sou--vilnius-385938/,  Dzino show. Humoristinių situacijų šou | Vilnius ," Muzikinis teatras LEGENDOS KLUBAS, Vilnius ", Š 2023-04-15&#32;19:00,https://www.bilietai.lt/imageGenerator/eventDetails/047cbfb8b7ae368a22b84e2a58dc7188,21.20 - 27.20,https://store.bilietai.lt/public/?concert=385938&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/sokis/kaunas-seiko-sokio-teatro-spektaklis--la-calash-la-latin-lt-387703/,  (Kaunas) Šeiko šokio teatro spektaklis | La CALASH La Latin-LT ," Kauno kino centras ROMUVA, Kaunas ", Š 2023-04-15&#32;19:00,https://www.bilietai.lt/imageGenerator/eventDetails/83913d27f2d78906cf92dca3f20dbed7,10.20 - 19.20,https://store.bilietai.lt/public/?concert=387703&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/aat--arturo-areimos-teatro-spektaklis-hamletmachine-372803/,  AAT | Artūro Areimos teatro spektaklis &#039;&#039;HAMLETMACHINE&#039;&#039; ," Artūro Areimos teatras, Vilnius ", Š 2023-04-15&#32;19:30,https://www.bilietai.lt/imageGenerator/eventDetails/a456df6be3d7b3e0d72c6ac85a65f4ad,16.2,https://store.bilietai.lt/public/?concert=372803&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/pasaku-namai-387195/,  PASAKŲ NAMAI ," Kauno valstybinis lėlių teatras, Kaunas ", S 2023-04-16&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/171c67685f41fab290537dde1f2f833c,7.50 - 9.50,https://store.bilietai.lt/public/?concert=387195&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/sunyciai-kompiuterinio-zaidimo-labirintuose-ukmerge-374310/,  Šunyčiai kompiuterinio žaidimo labirintuose - Ukmergė ," Ukmergės kultūros centras, Ukmergė ", S 2023-04-16&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/6d624d6a40aeca32c3fff146cae84aab,14.20 - 19.20,https://store.bilietai.lt/public/?concert=374310&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/auksaplauke-ir-meskis-385667/,  Auksaplaukė ir meškis ," Raganiukės teatras, Vilnius ", S 2023-04-16&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/c11ea268f15b915a6f07834af9dc6f4b,7.60 - 20.60,https://store.bilietai.lt/public/?concert=385667&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/voro-vestuves--muzikinis-spektaklis-vaikams-384535/,  VORO VESTUVĖS || Muzikinis spektaklis vaikams ," Vilniaus teatras LĖLĖ, Vilnius ", S 2023-04-16&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/630bab676201e9838ed2e6df44eba0ae,9,https://store.bilietai.lt/public/?concert=384535&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/kita/edukacija-ekskursija-388379/,  EDUKACIJA  - EKSKURSIJA ," Panevėžio teatras MENAS, Panevėžys ", S 2023-04-16&#32;12:00,https://www.bilietai.lt/imageGenerator/eventDetails/3b63659eeb4f32f9150d8941c7a9292e,6.2,https://store.bilietai.lt/public/?concert=388379&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/vmt-spektaklis-vaikams--mano-batai-buvo-du-386019/,  VMT spektaklis vaikams | MANO BATAI BUVO DU ," Valstybinis Vilniaus mažasis teatras, Vilnius ", S 2023-04-16&#32;13:00,https://www.bilietai.lt/imageGenerator/eventDetails/b35df7a6db74a93236b5967aa0ebeca8,5.19 - 10.00,https://store.bilietai.lt/public/?concert=386019&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/misles--leliu-ir-objektu-spektaklis-vaikams-384536/,  MĮSLĖ(S) || Lėlių ir objektų spektaklis vaikams ," Vilniaus teatras LĖLĖ, Vilnius ", S 2023-04-16&#32;14:00,https://www.bilietai.lt/imageGenerator/eventDetails/a48909db42a5763e777391a72c0606b2,9,https://store.bilietai.lt/public/?concert=384536&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/batuotas-katinas--skuodas-381018/,  Batuotas katinas | Skuodas ," Skuodo kultūros centras, Skuodas ", S 2023-04-16&#32;16:00,https://www.bilietai.lt/imageGenerator/eventDetails/c3f8c37e13080b7de0985cd80ad853f5,8.60 - 10.60,https://store.bilietai.lt/public/?concert=381018&amp;design=bilietai&amp;lang=lit&amp;center=1745
